Non-overlapping 14-day period,Region,Number of deaths
06 January 2023,East Midlands,1315
06 January 2023,East of England,1672
06 January 2023,London,1358
06 January 2023,North East,832
06 January 2023,North West,2223
06 January 2023,South East,2397
06 January 2023,South West,1723
06 January 2023,Wales,1037
06 January 2023,West Midlands,1700
06 January 2023,Yorkshire and The Humber,1610
03 February 2023,East Midlands,1081
03 February 2023,East of England,1346
03 February 2023,North East,651
03 February 2023,North West,1648
03 February 2023,South East,1865
03 February 2023,West Midlands,1244
03 February 2023,Yorkshire and The Humber,1179
10 February 2023,Wales,738
17 February 2023,London,1102
24 February 2023,South West,1328
10 March 2023,London,1126
10 March 2023,South East,1867
10 March 2023,South West,1299
10 March 2023,Yorkshire and The Humber,1203
17 March 2023,East Midlands,1090
17 March 2023,East of England,1305
17 March 2023,North West,1670
17 March 2023,Wales,792
17 March 2023,West Midlands,1315
31 March 2023,North East,632
07 April 2023,East of England,1182
07 April 2023,North West,1491
07 April 2023,West Midlands,1195
14 April 2023,London,988
14 April 2023,South West,1220
21 April 2023,East Midlands,942
21 April 2023,South East,1724
28 April 2023,North East,592
28 April 2023,Wales,691
28 April 2023,Yorkshire and The Humber,1092
05 May 2023,East Midlands,896
05 May 2023,East of England,1224
05 May 2023,London,975
05 May 2023,North East,557
05 May 2023,North West,1429
05 May 2023,South East,1638
05 May 2023,South West,1158
05 May 2023,Wales,648
05 May 2023,Yorkshire and The Humber,1069
12 May 2023,West Midlands,1118
02 June 2023,East of England,1157
02 June 2023,South East,1596
09 June 2023,South West,1119
16 June 2023,East Midlands,948
16 June 2023,London,1022
16 June 2023,North East,576
16 June 2023,North West,1436
16 June 2023,Wales,635
16 June 2023,West Midlands,1100
16 June 2023,Yorkshire and The Humber,1053
07 July 2023,London,840
07 July 2023,North East,521
07 July 2023,Wales,659
14 July 2023,West Midlands,1029
14 July 2023,Yorkshire and The Humber,940
21 July 2023,South West,1044
28 July 2023,East Midlands,854
28 July 2023,East of England,1055
28 July 2023,North West,1315
28 July 2023,South East,1481
11 August 2023,East Midlands,900
11 August 2023,London,929
11 August 2023,North East,535
11 August 2023,North West,1365
11 August 2023,South East,1507
11 August 2023,South West,1117
11 August 2023,West Midlands,1045
11 August 2023,Yorkshire and The Humber,1012
18 August 2023,East of England,1038
18 August 2023,Wales,641
08 September 2023,East Midlands,892
08 September 2023,London,1001
08 September 2023,North West,1383
08 September 2023,South West,1134
08 September 2023,Wales,634
08 September 2023,Yorkshire and The Humber,1020
15 September 2023,East of England,1076
15 September 2023,South East,1560
15 September 2023,West Midlands,1079
29 September 2023,North East,571
20 October 2023,East Midlands,983
20 October 2023,London,962
20 October 2023,South West,1211
20 October 2023,Yorkshire and The Humber,1095
27 October 2023,East of England,1158
27 October 2023,North East,560
27 October 2023,North West,1512
27 October 2023,South East,1704
27 October 2023,Wales,642
27 October 2023,West Midlands,1133
03 November 2023,East of England,1185
10 November 2023,Wales,696
10 November 2023,Yorkshire and The Humber,1145
17 November 2023,East Midlands,994
17 November 2023,London,1020
17 November 2023,North West,1507
17 November 2023,West Midlands,1181
24 November 2023,North East,623
24 November 2023,South East,1770
24 November 2023,South West,1199
08 December 2023,East of England,1333
08 December 2023,South West,1352
08 December 2023,West Midlands,1307
15 December 2023,London,1146
15 December 2023,Wales,764
22 December 2023,South East,1953
29 December 2023,East Midlands,1080
29 December 2023,North East,643
29 December 2023,North West,1686
29 December 2023,Yorkshire and The Humber,1227
05 January 2024,London,1132
05 January 2024,North East,699
05 January 2024,North West,1672
19 January 2024,West Midlands,1281
26 January 2024,East Midlands,1108
26 January 2024,East of England,1364
26 January 2024,South East,2046
26 January 2024,South West,1387
26 January 2024,Wales,796
26 January 2024,Yorkshire and The Humber,1310
02 February 2024,East Midlands,1022
02 February 2024,London,1070
02 February 2024,North West,1653
02 February 2024,South West,1307
02 February 2024,West Midlands,1236
02 February 2024,Yorkshire and The Humber,1159
09 February 2024,North East,659
09 February 2024,South East,1888
09 February 2024,Wales,740
16 February 2024,East of England,1270
01 March 2024,North East,619
01 March 2024,South West,1250
08 March 2024,East Midlands,997
08 March 2024,North West,1561
08 March 2024,Wales,728
08 March 2024,West Midlands,1189
15 March 2024,East of England,1250
15 March 2024,South East,1691
15 March 2024,Yorkshire and The Humber,1086
22 March 2024,London,952
05 April 2024,East Midlands,938
05 April 2024,East of England,1196
05 April 2024,South East,1619
05 April 2024,West Midlands,1111
05 April 2024,Yorkshire and The Humber,1042
12 April 2024,North East,574
12 April 2024,South West,1150
19 April 2024,Wales,655
26 April 2024,London,907
26 April 2024,North West,1428
03 May 2024,East of England,1089
03 May 2024,London,941
03 May 2024,North East,536
03 May 2024,North West,1430
03 May 2024,South East,1649
03 May 2024,Wales,665
10 May 2024,East Midlands,905
10 May 2024,South West,1134
10 May 2024,West Midlands,1178
10 May 2024,Yorkshire and The Humber,1015
14 June 2024,East Midlands,863
14 June 2024,Yorkshire and The Humber,956
21 June 2024,East of England,1089
21 June 2024,London,894
21 June 2024,North East,538
21 June 2024,North West,1387
21 June 2024,South East,1517
21 June 2024,Wales,636
21 June 2024,West Midlands,1091
28 June 2024,South West,1100
05 July 2024,Yorkshire and The Humber,946
12 July 2024,Wales,602
19 July 2024,East Midlands,878
19 July 2024,East of England,1058
19 July 2024,North East,509
19 July 2024,North West,1324
19 July 2024,South East,1453
19 July 2024,West Midlands,1033
26 July 2024,London,838
26 July 2024,South West,1033
02 August 2024,East Midlands,821
02 August 2024,North East,469
02 August 2024,North West,1234
02 August 2024,South East,1422
02 August 2024,South West,990
02 August 2024,Wales,605
02 August 2024,West Midlands,968
02 August 2024,Yorkshire and The Humber,965
09 August 2024,East of England,1023
16 August 2024,London,767
06 September 2024,East Midlands,788
06 September 2024,East of England,976
06 September 2024,South East,1373
06 September 2024,Wales,551
06 September 2024,West Midlands,957
13 September 2024,North East,461
13 September 2024,North West,1184
20 September 2024,London,858
20 September 2024,South West,1033
20 September 2024,Yorkshire and The Humber,907
04 October 2024,East Midlands,146
04 October 2024,East of England,250
04 October 2024,London,245
04 October 2024,North East,128
04 October 2024,North West,364
04 October 2024,South East,193
04 October 2024,South West,186
04 October 2024,Wales,57
04 October 2024,West Midlands,272
04 October 2024,Yorkshire and The Humber,180
