Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/11/2021 -> 30/11/2021,East Midlands,1265265,3260465
01/11/2021 -> 30/11/2021,East of England,1650045,4168240
01/11/2021 -> 30/11/2021,London,1489210,4792910
01/11/2021 -> 30/11/2021,North East,730870,1846650
01/11/2021 -> 30/11/2021,North West,1866655,4854040
01/11/2021 -> 30/11/2021,South East,2398285,6114330
01/11/2021 -> 30/11/2021,South West,1577440,3886570
01/11/2021 -> 30/11/2021,East Midlands,95895,314550
01/11/2021 -> 30/11/2021,East of England,141620,454330
01/11/2021 -> 30/11/2021,London,538165,1783480
01/11/2021 -> 30/11/2021,North East,22945,81810
01/11/2021 -> 30/11/2021,North West,105090,381055
01/11/2021 -> 30/11/2021,South East,241385,736965
01/11/2021 -> 30/11/2021,South West,91170,278400
01/11/2021 -> 30/11/2021,East Midlands,1169375,2945925
01/11/2021 -> 30/11/2021,East of England,1508430,3713930
01/11/2021 -> 30/11/2021,London,951035,3009430
01/11/2021 -> 30/11/2021,North East,707925,1764845
01/11/2021 -> 30/11/2021,North West,1761575,4472990
01/11/2021 -> 30/11/2021,South East,2156915,5377370
01/11/2021 -> 30/11/2021,South West,1486270,3608170
01/11/2021 -> 30/11/2021,East Midlands,177305,289980
01/11/2021 -> 30/11/2021,East of England,209790,337845
01/11/2021 -> 30/11/2021,London,176495,344880
01/11/2021 -> 30/11/2021,North East,112445,179780
01/11/2021 -> 30/11/2021,North West,259380,435150
01/11/2021 -> 30/11/2021,South East,288600,466215
01/11/2021 -> 30/11/2021,South West,211650,338385
01/11/2021 -> 30/11/2021,East Midlands,99510,178425
01/11/2021 -> 30/11/2021,East of England,103905,186035
01/11/2021 -> 30/11/2021,London,113860,243350
01/11/2021 -> 30/11/2021,North East,80455,137205
01/11/2021 -> 30/11/2021,North West,183940,331830
01/11/2021 -> 30/11/2021,South East,135880,244990
01/11/2021 -> 30/11/2021,South West,104935,187570
01/11/2021 -> 30/11/2021,East Midlands,988455,2792060
01/11/2021 -> 30/11/2021,East of England,1336350,3644375
01/11/2021 -> 30/11/2021,London,1198840,4204690
01/11/2021 -> 30/11/2021,North East,537960,1529655
01/11/2021 -> 30/11/2021,North West,1423325,4087060
01/11/2021 -> 30/11/2021,South East,1973805,5403125
01/11/2021 -> 30/11/2021,South West,1260860,3360620
01/11/2021 -> 30/11/2021,East Midlands,63870,110075
01/11/2021 -> 30/11/2021,East of England,75255,129385
01/11/2021 -> 30/11/2021,London,32255,62035
01/11/2021 -> 30/11/2021,North East,41405,71955
